relative_path,paired_hypnogram,size_bytes,duration_seconds,signal_count,channels,sample_rates_hz,stage_counts
sleep-cassette/SC4001E0-PSG.edf,sleep-cassette/SC4001EC-Hypnogram.edf,48338048,79500.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 24, ""2"": 40, ""3"": 48, ""4"": 23, ""?"": 1, ""R"": 6, ""W"": 12}"
sleep-cassette/SC4002E0-PSG.edf,sleep-cassette/SC4002EC-Hypnogram.edf,51621248,84900.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 32, ""2"": 37, ""3"": 30, ""4"": 16, ""?"": 1, ""M"": 1, ""R"": 12, ""W"": 23}"
sleep-cassette/SC4011E0-PSG.edf,sleep-cassette/SC4011EH-Hypnogram.edf,51110528,84060.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 33, ""2"": 40, ""3"": 21, ""4"": 8, ""?"": 1, ""R"": 8, ""W"": 15}"
sleep-cassette/SC4012E0-PSG.edf,sleep-cassette/SC4012EC-Hypnogram.edf,51986048,85500.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 42, ""2"": 55, ""3"": 29, ""4"": 9, ""?"": 1, ""R"": 18, ""W"": 17}"
sleep-cassette/SC4021E0-PSG.edf,sleep-cassette/SC4021EH-Hypnogram.edf,51147008,84120.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 22, ""2"": 56, ""3"": 43, ""4"": 15, ""?"": 1, ""R"": 15, ""W"": 9}"
sleep-cassette/SC4022E0-PSG.edf,sleep-cassette/SC4022EJ-Hypnogram.edf,50271488,82680.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 52, ""2"": 63, ""3"": 34, ""4"": 11, ""?"": 1, ""M"": 1, ""R"": 11, ""W"": 6}"
sleep-cassette/SC4031E0-PSG.edf,sleep-cassette/SC4031EC-Hypnogram.edf,51438848,84600.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 30, ""2"": 42, ""3"": 21, ""4"": 1, ""?"": 1, ""R"": 10, ""W"": 14}"
sleep-cassette/SC4032E0-PSG.edf,sleep-cassette/SC4032EP-Hypnogram.edf,49833728,81960.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 20, ""2"": 33, ""3"": 28, ""4"": 16, ""?"": 1, ""R"": 12, ""W"": 13}"
sleep-cassette/SC4041E0-PSG.edf,sleep-cassette/SC4041EC-Hypnogram.edf,46878848,77100.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 43, ""2"": 47, ""3"": 15, ""?"": 1, ""M"": 1, ""R"": 24, ""W"": 30}"
sleep-cassette/SC4042E0-PSG.edf,sleep-cassette/SC4042EC-Hypnogram.edf,50928128,83760.0,7,EEG Fpz-Cz;EEG Pz-Oz;EOG horizontal;Resp oro-nasal;EMG submental;Temp rectal;Event marker,100;100;100;1;1;1;1,"{""1"": 51, ""2"": 48, ""3"": 22, ""4"": 3, ""?"": 1, ""M"": 4, ""R"": 33, ""W"": 16}"
